seq,father_height,son_height
1.0,160.9,158.6
2.0,166.5,157.2
3.0,159.7,157.5
4.0,162.7,166.1
5.0,161.3,159.8
6.0,165.9,159.7
7.0,161.7,159.4
8.0,160.1,159.1
9.0,163.4,160.7
10.0,165.7,159.1
11.0,156.0,162.2
12.0,165.7,162.5
13.0,167.5,163.3
14.0,158.5,162.7
15.0,160.0,162.4
16.0,161.2,161.1
17.0,164.2,161.7
18.0,162.2,163.0
19.0,166.7,161.8
20.0,165.2,162.9
21.0,167.7,162.0
22.0,172.0,162.9
23.0,164.7,165.6
24.0,167.9,165.1
25.0,159.5,164.5
26.0,160.7,164.1
27.0,160.1,164.0
28.0,162.6,165.2
29.0,162.0,163.5
30.0,162.2,164.0
31.0,165.5,163.9
32.0,164.7,163.9
33.0,166.6,164.3
34.0,168.0,163.5
35.0,169.0,165.0
36.0,167.6,164.3
37.0,169.4,164.8
38.0,171.7,165.0
39.0,177.7,165.2
40.0,164.4,167.2
41.0,159.5,167.8
42.0,159.5,166.6
43.0,158.1,166.0
44.0,161.9,166.7
45.0,160.9,166.2
46.0,162.5,172.3
47.0,169.9,171.8
48.0,164.6,163.3
49.0,160.5,163.4
50.0,172.2,171.5
51.0,160.3,167.5
52.0,161.6,167.0
53.0,162.9,166.8
54.0,162.9,167.3
55.0,162.2,168.2
56.0,163.0,167.8
57.0,162.7,166.4
58.0,166.0,168.1
59.0,164.8,167.1
60.0,166.8,166.1
61.0,166.4,167.2
62.0,164.8,167.9
63.0,168.7,168.0
64.0,167.7,167.0
65.0,169.0,168.0
66.0,168.4,167.5
67.0,170.6,168.1
68.0,170.5,167.2
69.0,172.2,166.2
70.0,174.1,165.9
71.0,173.2,166.4
72.0,180.0,168.2
73.0,165.4,169.2
74.0,165.5,170.3
75.0,158.1,169.2
76.0,159.7,170.0
77.0,159.6,169.9
78.0,163.3,169.9
79.0,162.8,169.5
80.0,163.3,170.4
81.0,162.1,169.4
82.0,162.6,169.9
83.0,165.2,169.2
84.0,165.0,170.6
85.0,165.7,168.9
86.0,165.6,169.3
87.0,165.4,170.0
88.0,166.1,168.7
89.0,167.6,169.6
90.0,168.9,169.1
91.0,167.3,169.7
92.0,169.3,168.8
93.0,167.4,169.6
94.0,170.0,169.0
95.0,171.5,169.8
96.0,170.1,168.9
97.0,171.0,170.6
98.0,171.6,169.7
99.0,169.8,170.5
100.0,172.1,169.3
101.0,174.2,170.0
102.0,176.1,168.5
103.0,175.2,170.6
104.0,177.3,168.9
105.0,181.3,168.7
106.0,166.0,171.0
107.0,167.5,173.1
108.0,161.8,173.3
109.0,159.8,172.6
110.0,164.3,173.3
111.0,162.7,172.1
112.0,162.5,172.7
113.0,163.4,173.1
114.0,164.6,172.3
115.0,164.7,172.9
116.0,164.9,170.9
117.0,167.5,172.4
118.0,169.4,172.1
119.0,167.8,172.2
120.0,167.1,172.8
121.0,168.4,171.9
122.0,171.1,171.4
123.0,170.9,173.7
124.0,169.8,172.3
125.0,169.8,172.1
126.0,169.8,170.8
127.0,174.1,172.4
128.0,173.2,171.3
129.0,173.5,172.3
130.0,173.7,172.0
131.0,176.3,173.1
132.0,175.4,171.9
133.0,178.6,171.8
134.0,185.5,171.7
135.0,160.5,173.7
136.0,162.2,174.2
137.0,162.4,173.8
138.0,163.1,174.7
139.0,163.1,175.4
140.0,166.8,175.4
141.0,167.0,173.5
142.0,167.3,175.0
143.0,169.3,174.0
144.0,169.5,173.7
145.0,168.5,175.8
146.0,171.9,174.5
147.0,170.9,174.4
148.0,171.7,174.0
149.0,171.8,174.8
150.0,172.0,173.6
151.0,173.6,174.0
152.0,172.9,173.9
153.0,175.3,173.4
154.0,175.3,174.3
155.0,176.4,174.1
156.0,178.5,175.7
157.0,178.6,174.1
158.0,186.6,174.3
159.0,159.6,177.4
160.0,164.2,176.1
161.0,162.2,177.7
162.0,165.2,177.0
163.0,165.5,178.2
164.0,168.7,177.5
165.0,167.0,175.9
166.0,167.8,177.2
167.0,170.6,176.7
168.0,171.3,177.2
169.0,170.1,176.3
170.0,172.5,177.3
171.0,173.9,177.9
172.0,173.3,177.0
173.0,173.8,176.6
174.0,175.4,177.5
175.0,176.1,178.2
176.0,179.1,176.9
177.0,180.7,176.3
178.0,185.1,178.2
179.0,166.7,180.0
180.0,166.5,178.7
181.0,167.7,179.9
182.0,171.5,179.5
183.0,171.0,180.3
184.0,173.2,179.0
185.0,172.6,179.9
186.0,174.8,180.2
187.0,175.9,179.7
188.0,179.3,179.0
189.0,179.3,179.5
190.0,167.0,181.0
191.0,168.8,181.6
192.0,170.2,181.2
193.0,172.9,182.0
194.0,176.9,183.1
195.0,175.1,181.2
196.0,177.9,182.0
197.0,166.1,184.8
198.0,168.8,185.0
199.0,173.3,183.4
200.0,175.3,183.8
201.0,179.5,183.4
202.0,168.1,187.9
203.0,167.1,188.2
204.0,180.1,192.0
205.0,165.1,162.4
206.0,168.7,184.7
207.0,161.0,176.4
208.0,181.7,187.4
209.0,165.7,163.6
210.0,164.7,159.1
211.0,172.9,165.3
212.0,175.8,183.3
213.0,174.9,165.0
214.0,171.9,164.7
215.0,173.6,162.7
216.0,161.9,159.1
217.0,163.5,166.1
218.0,167.3,158.0
219.0,162.3,157.9
220.0,168.3,166.4
221.0,162.9,158.5
222.0,167.8,158.5
223.0,160.5,160.1
224.0,162.8,158.4
225.0,164.3,160.3
226.0,170.2,159.8
227.0,162.8,162.1
228.0,159.1,161.9
229.0,167.6,163.0
230.0,160.8,161.5
231.0,161.7,162.0
232.0,160.3,162.1
233.0,162.6,163.1
234.0,163.4,163.2
235.0,165.9,161.3
236.0,167.7,162.7
237.0,170.8,160.9
238.0,163.8,163.7
239.0,165.3,163.6
240.0,168.0,165.8
241.0,161.8,165.5
242.0,159.9,165.2
243.0,163.4,164.9
244.0,163.7,164.7
245.0,163.3,165.1
246.0,162.8,165.8
247.0,166.8,164.7
248.0,166.1,165.2
249.0,166.6,165.8
250.0,167.9,163.5
251.0,169.0,164.6
252.0,168.1,164.9
253.0,169.9,163.7
254.0,176.1,165.0
255.0,164.4,166.3
256.0,165.6,166.1
257.0,158.5,167.5
258.0,158.1,168.3
259.0,160.4,167.1
260.0,161.8,167.3
261.0,160.2,167.7
262.0,169.9,171.5
263.0,161.3,164.2
264.0,159.1,159.4
265.0,163.5,164.1
266.0,170.7,163.6
267.0,159.6,166.5
268.0,163.5,166.1
269.0,162.6,166.6
270.0,164.4,167.7
271.0,162.4,166.2
272.0,164.3,167.2
273.0,167.6,168.9
274.0,165.4,167.0
275.0,165.0,168.1
276.0,166.6,166.4
277.0,166.6,166.0
278.0,168.1,167.0
279.0,167.7,167.2
280.0,168.5,166.0
281.0,168.9,166.1
282.0,170.3,167.8
283.0,171.7,166.9
284.0,171.5,166.8
285.0,174.4,166.5
286.0,173.3,168.0
287.0,174.8,166.2
288.0,164.4,168.4
289.0,166.2,168.8
290.0,167.1,170.7
291.0,158.1,170.5
292.0,159.9,170.2
293.0,160.5,170.1
294.0,163.1,170.2
295.0,163.8,170.0
296.0,164.4,168.9
297.0,162.1,169.8
298.0,165.5,169.0
299.0,166.0,169.5
300.0,165.3,170.5
301.0,166.2,170.5
302.0,164.6,168.6
303.0,164.6,168.8
304.0,164.9,169.7
305.0,168.7,169.1
306.0,167.3,168.7
307.0,168.9,168.6
308.0,168.2,170.6
309.0,170.7,169.3
310.0,171.5,168.8
311.0,170.4,170.3
312.0,170.6,170.6
313.0,171.7,169.3
314.0,171.9,169.3
315.0,174.0,168.4
316.0,173.0,170.1
317.0,174.9,170.6
318.0,174.6,169.8
319.0,179.1,169.3
320.0,179.3,170.1
321.0,165.2,172.5
322.0,158.1,171.6
323.0,159.6,172.5
324.0,160.4,171.3
325.0,161.7,172.5
326.0,162.9,172.4
327.0,164.0,171.5
328.0,162.8,173.1
329.0,165.3,172.2
330.0,166.2,173.3
331.0,166.5,171.3
332.0,167.1,171.8
333.0,168.9,172.7
334.0,169.1,172.0
335.0,167.3,173.2
336.0,169.4,171.2
337.0,169.6,172.2
338.0,170.9,171.8
339.0,169.6,171.5
340.0,171.1,172.4
341.0,169.7,172.1
342.0,169.6,171.4
343.0,172.3,172.5
344.0,174.2,170.9
345.0,173.1,171.0
346.0,173.8,172.5
347.0,176.4,172.6
348.0,176.4,172.9
349.0,179.6,172.1
350.0,159.3,173.9
351.0,160.6,173.9
352.0,164.1,174.0
353.0,163.4,173.4
354.0,162.5,173.6
355.0,165.1,173.8
356.0,164.9,174.8
357.0,169.1,173.7
358.0,168.1,173.9
359.0,168.1,174.7
360.0,168.9,175.8
361.0,170.1,175.0
362.0,170.8,175.0
363.0,169.7,175.6
364.0,171.7,174.5
365.0,172.6,173.7
366.0,172.3,174.6
367.0,174.3,174.8
368.0,172.9,174.9
369.0,175.6,173.6
370.0,176.2,175.4
371.0,176.8,174.0
372.0,177.2,173.4
373.0,181.1,173.7
374.0,158.1,176.2
375.0,163.3,177.5
376.0,163.4,177.0
377.0,166.9,175.9
378.0,165.0,175.9
379.0,168.9,177.4
380.0,167.6,176.3
381.0,168.9,176.3
382.0,169.2,176.2
383.0,171.0,177.0
384.0,171.0,177.3
385.0,172.5,177.1
386.0,173.2,177.4
387.0,172.1,178.0
388.0,173.1,176.5
389.0,175.4,177.0
390.0,174.8,177.6
391.0,178.8,177.5
392.0,176.9,176.3
393.0,180.6,178.2
394.0,163.8,179.3
395.0,166.4,179.1
396.0,167.8,179.0
397.0,170.9,178.4
398.0,171.6,178.9
399.0,172.2,179.5
400.0,173.4,179.8
401.0,173.6,180.5
402.0,176.3,179.2
403.0,178.3,178.6
404.0,179.0,178.6
405.0,165.9,181.7
406.0,167.9,182.6
407.0,170.9,182.0
408.0,172.2,182.5
409.0,172.5,182.1
410.0,174.5,181.2
411.0,179.1,181.0
412.0,180.1,182.2
413.0,168.5,183.9
414.0,169.7,185.6
415.0,176.4,183.8
416.0,178.4,185.5
417.0,184.8,184.8
418.0,176.1,186.7
419.0,169.0,191.9
420.0,159.5,161.1
421.0,158.2,165.1
422.0,166.0,165.1
423.0,157.3,155.5
424.0,182.8,174.1
425.0,178.2,176.5
426.0,161.0,161.5
427.0,161.8,175.3
428.0,178.0,172.2
429.0,176.4,161.4
430.0,161.2,171.0
431.0,170.5,173.7
432.0,159.5,165.5
433.0,158.3,157.4
434.0,164.4,158.0
435.0,166.1,166.3
436.0,164.1,158.9
437.0,168.0,160.0
438.0,161.9,159.7
439.0,162.3,160.6
440.0,163.7,159.9
441.0,167.3,158.6
442.0,159.0,163.3
443.0,165.8,161.2
444.0,167.3,163.2
445.0,161.2,161.0
446.0,161.1,161.1
447.0,160.3,161.9
448.0,163.9,163.0
449.0,163.8,162.4
450.0,164.8,162.0
451.0,168.2,161.9
452.0,170.8,161.2
453.0,163.7,165.0
454.0,166.3,165.1
455.0,159.5,165.1
456.0,167.7,164.9
457.0,159.9,163.6
458.0,159.8,164.4
459.0,163.4,165.3
460.0,163.2,164.9
461.0,162.4,165.6
462.0,166.0,164.1
463.0,166.5,165.3
464.0,166.2,164.1
465.0,169.2,165.3
466.0,167.3,165.1
467.0,167.1,165.0
468.0,169.6,164.9
469.0,173.2,165.7
470.0,161.1,166.1
471.0,165.2,167.9
472.0,159.0,167.0
473.0,158.6,166.1
474.0,167.5,167.2
475.0,160.0,166.1
476.0,160.0,166.3
477.0,168.1,169.4
478.0,159.8,158.2
479.0,163.5,157.1
480.0,161.4,163.3
481.0,172.4,167.2
482.0,161.6,167.6
483.0,162.2,168.0
484.0,163.6,167.1
485.0,163.8,166.9
486.0,163.3,166.1
487.0,163.4,166.8
488.0,163.1,166.4
489.0,166.0,166.0
490.0,165.7,166.5
491.0,166.7,168.3
492.0,166.8,168.2
493.0,166.5,168.3
494.0,168.9,167.4
495.0,169.1,166.7
496.0,167.2,166.5
497.0,168.8,166.8
498.0,170.9,167.0
499.0,170.1,167.8
500.0,174.4,168.3
501.0,173.2,166.3
502.0,172.0,166.7
503.0,162.2,168.4
504.0,165.7,170.4
505.0,158.6,168.8
506.0,168.0,168.7
507.0,161.0,169.8
508.0,159.9,169.5
509.0,163.0,170.5
510.0,163.9,168.5
511.0,162.4,168.9
512.0,163.4,168.4
513.0,165.0,168.1
514.0,166.1,169.3
515.0,165.5,168.5
516.0,165.5,169.4
517.0,164.7,169.5
518.0,166.3,170.6
519.0,165.9,169.8
520.0,168.1,170.0
521.0,168.1,170.6
522.0,167.8,169.8
523.0,168.0,168.9
524.0,169.8,168.4
525.0,169.7,170.0
526.0,170.8,169.5
527.0,170.8,169.0
528.0,171.0,169.7
529.0,169.6,169.2
530.0,173.8,170.3
531.0,172.8,170.6
532.0,172.9,168.4
533.0,176.9,170.8
534.0,179.0,170.7
535.0,178.0,170.0
536.0,161.0,171.9
537.0,165.9,172.5
538.0,159.8,172.9
539.0,161.8,171.9
540.0,160.4,173.2
541.0,162.2,172.6
542.0,162.2,172.0
543.0,163.5,172.1
544.0,166.8,171.9
545.0,164.7,171.6
546.0,166.8,171.7
547.0,166.3,171.9
548.0,168.8,170.9
549.0,167.9,171.5
550.0,168.3,171.5
551.0,167.5,172.0
552.0,170.3,171.1
553.0,170.0,170.9
554.0,170.9,171.6
555.0,170.2,172.3
556.0,170.2,172.5
557.0,171.5,171.4
558.0,172.2,172.4
559.0,172.6,173.2
560.0,173.6,172.7
561.0,173.5,171.5
562.0,175.9,172.9
563.0,176.7,170.9
564.0,177.5,172.1
565.0,159.2,175.0
566.0,161.2,174.3
567.0,163.5,175.0
568.0,162.8,174.2
569.0,162.1,173.5
570.0,165.1,175.0
571.0,166.2,174.2
572.0,166.2,174.7
573.0,168.4,173.7
574.0,167.9,175.8
575.0,168.7,174.7
576.0,171.4,173.4
577.0,170.3,174.9
578.0,171.2,174.0
579.0,170.0,173.4
580.0,171.8,174.6
581.0,173.3,174.1
582.0,172.4,174.9
583.0,173.7,175.1
584.0,175.1,173.5
585.0,175.4,173.5
586.0,176.4,175.4
587.0,178.9,174.2
588.0,180.1,175.5
589.0,159.3,176.9
590.0,160.5,176.9
591.0,162.9,176.6
592.0,166.6,176.4
593.0,166.9,176.0
594.0,167.9,177.8
595.0,168.0,178.0
596.0,169.5,176.1
597.0,167.3,176.5
598.0,171.6,177.9
599.0,171.6,176.8
600.0,171.9,177.8
601.0,173.7,177.5
602.0,173.2,177.8
603.0,172.8,176.6
604.0,172.2,178.1
605.0,176.9,177.5
606.0,178.5,177.1
607.0,179.1,176.3
608.0,179.4,177.9
609.0,160.0,180.1
610.0,165.2,180.5
611.0,167.8,178.5
612.0,168.6,179.1
613.0,171.2,179.1
614.0,170.4,180.2
615.0,173.5,178.9
616.0,173.5,179.3
617.0,175.7,180.5
618.0,176.7,180.4
619.0,178.2,178.5
620.0,180.0,180.5
621.0,168.3,181.7
622.0,170.8,182.0
623.0,170.4,182.5
624.0,172.3,182.5
625.0,176.2,183.2
626.0,178.0,181.1
627.0,180.4,181.5
628.0,162.9,185.7
629.0,169.4,183.6
630.0,175.0,184.9
631.0,179.0,184.0
632.0,179.6,183.8
633.0,171.3,186.2
634.0,181.8,189.2
635.0,173.3,194.6
636.0,168.1,163.9
637.0,160.0,173.7
638.0,160.4,164.8
639.0,185.4,177.6
640.0,174.8,178.1
641.0,160.7,162.9
642.0,161.5,178.7
643.0,176.5,177.0
644.0,177.3,160.5
645.0,165.1,162.3
646.0,176.6,173.1
647.0,164.7,161.9
648.0,166.2,161.8
649.0,164.7,167.0
650.0,160.4,158.1
651.0,165.6,157.8
652.0,164.3,158.7
653.0,167.3,159.6
654.0,161.9,160.8
655.0,160.8,159.3
656.0,164.4,160.1
657.0,164.9,160.6
658.0,157.2,161.2
659.0,165.9,162.2
660.0,158.6,163.2
661.0,158.5,163.2
662.0,159.6,161.3
663.0,162.3,161.2
664.0,164.0,163.3
665.0,163.4,163.1
666.0,165.3,161.9
667.0,168.7,161.3
668.0,169.9,163.3
669.0,161.6,165.5
670.0,166.5,164.7
671.0,168.0,163.9
672.0,158.7,164.9
673.0,160.3,165.0
674.0,159.7,164.6
675.0,163.8,164.4
676.0,164.5,164.6
677.0,164.4,163.7
678.0,166.5,165.6
679.0,166.7,165.2
680.0,166.5,164.8
681.0,167.5,165.5
682.0,169.2,164.8
683.0,167.7,163.9
684.0,171.4,165.7
685.0,172.3,165.6
686.0,158.5,167.4
687.0,163.7,167.6
688.0,167.4,167.9
689.0,167.9,166.5
690.0,159.5,166.9
691.0,160.2,166.6
692.0,161.9,166.5
693.0,160.0,170.3
694.0,171.4,167.8
695.0,167.4,166.7
696.0,160.7,167.6
697.0,171.9,171.0
698.0,161.0,166.4
699.0,160.8,167.3
700.0,162.3,167.0
701.0,163.2,166.9
702.0,162.5,166.8
703.0,163.0,167.0
704.0,163.1,166.0
705.0,166.8,166.2
706.0,164.6,167.7
707.0,166.8,167.5
708.0,166.3,166.5
709.0,166.6,167.6
710.0,168.5,166.4
711.0,168.3,166.4
712.0,168.3,166.1
713.0,169.1,166.1
714.0,170.2,167.0
715.0,171.9,167.7
716.0,173.7,168.3
717.0,172.5,166.9
718.0,173.6,168.1
719.0,161.1,169.0
720.0,165.0,170.7
721.0,159.1,170.2
722.0,159.0,169.1
723.0,159.7,170.6
724.0,160.2,170.4
725.0,163.9,168.5
726.0,163.5,169.3
727.0,164.3,169.6
728.0,163.8,170.5
729.0,163.0,170.6
730.0,165.8,170.7
731.0,167.0,170.1
732.0,165.1,170.4
733.0,165.0,170.6
734.0,166.5,168.8
735.0,166.1,169.2
736.0,167.8,169.0
737.0,169.3,170.5
738.0,167.6,169.3
739.0,168.5,168.9
740.0,167.5,170.6
741.0,170.7,168.9
742.0,171.3,170.7
743.0,171.4,170.7
744.0,171.4,170.1
745.0,170.1,169.6
746.0,172.2,169.9
747.0,172.2,169.4
748.0,173.0,168.6
749.0,174.6,169.7
750.0,179.0,169.0
751.0,177.0,169.2
752.0,180.5,169.3
753.0,166.7,173.2
754.0,159.2,172.1
755.0,161.2,171.3
756.0,161.4,172.4
757.0,163.0,172.9
758.0,163.3,171.6
759.0,162.2,172.2
760.0,162.9,173.0
761.0,165.5,172.5
762.0,165.7,171.5
763.0,166.8,172.4
764.0,168.1,171.8
765.0,167.7,172.3
766.0,169.3,172.2
767.0,169.0,170.9
768.0,169.1,172.8
769.0,170.1,172.8
770.0,170.6,171.3
771.0,171.5,171.2
772.0,170.2,172.6
773.0,170.5,171.1
774.0,172.7,171.8
775.0,172.4,172.0
776.0,174.1,172.3
777.0,173.9,171.2
778.0,175.7,171.9
779.0,176.4,172.6
780.0,178.2,170.8
781.0,166.5,175.0
782.0,160.5,175.3
783.0,160.6,176.4
784.0,163.6,173.5
785.0,164.5,174.7
786.0,163.4,174.8
787.0,165.1,173.4
788.0,166.1,174.4
789.0,167.2,175.1
790.0,168.7,173.9
791.0,169.1,173.5
792.0,168.6,173.8
793.0,171.1,174.8
794.0,171.1,174.6
795.0,169.5,175.1
796.0,170.3,175.1
797.0,172.4,175.7
798.0,172.8,173.4
799.0,174.4,175.2
800.0,176.1,175.4
801.0,174.6,175.2
802.0,174.5,175.4
803.0,179.1,174.7
804.0,181.1,174.9
805.0,158.6,177.5
806.0,159.9,176.6
807.0,162.6,178.1
808.0,166.0,176.3
809.0,165.3,177.5
810.0,169.2,177.7
811.0,169.1,177.1
812.0,168.8,178.0
813.0,169.1,177.2
814.0,169.9,177.4
815.0,170.0,176.9
816.0,170.8,177.9
817.0,173.6,176.4
818.0,172.9,177.8
819.0,173.6,176.2
820.0,173.8,177.6
821.0,176.7,177.3
822.0,174.8,177.1
823.0,179.2,177.7
824.0,180.7,176.0
825.0,160.0,180.7
826.0,166.0,179.0
827.0,167.7,179.8
828.0,169.2,179.6
829.0,171.2,180.0
830.0,169.7,179.1
831.0,172.9,178.5
832.0,173.6,180.4
833.0,174.5,180.5
834.0,175.7,178.8
835.0,177.7,180.6
836.0,180.1,180.1
837.0,168.1,181.9
838.0,167.8,183.0
839.0,171.5,182.2
840.0,174.3,181.7
841.0,176.6,183.3
842.0,178.9,183.0
843.0,177.8,181.2
844.0,159.9,183.8
845.0,167.6,184.8
846.0,172.9,183.7
847.0,175.3,184.5
848.0,179.9,185.2
849.0,170.8,186.7
850.0,179.2,189.9
851.0,170.9,194.9
852.0,173.6,162.2
853.0,179.0,180.6
854.0,157.5,161.5
855.0,181.3,181.6
856.0,168.5,178.6
857.0,166.2,162.4
858.0,163.3,161.5
859.0,176.8,179.4
860.0,168.6,176.5
861.0,161.4,163.4
862.0,174.2,167.9
863.0,169.2,160.1
864.0,163.1,157.4
865.0,160.8,157.9
866.0,163.8,158.3
867.0,157.2,159.0
868.0,165.3,159.0
869.0,168.0,159.0
870.0,159.7,159.3
871.0,162.3,160.9
872.0,164.0,160.1
873.0,175.5,159.9
874.0,163.7,161.2
875.0,159.3,162.5
876.0,159.2,162.2
877.0,160.6,162.8
878.0,161.6,162.0
879.0,161.2,162.5
880.0,163.5,163.1
881.0,163.4,160.9
882.0,166.7,161.1
883.0,167.8,163.0
884.0,173.9,162.7
885.0,166.3,165.5
886.0,167.5,163.4
887.0,158.6,164.4
888.0,160.1,164.8
889.0,161.2,165.5
890.0,163.1,165.2
891.0,162.5,165.4
892.0,163.2,164.8
893.0,166.5,165.2
894.0,165.0,164.8
895.0,164.7,164.4
896.0,165.3,165.5
897.0,168.8,164.9
898.0,167.1,164.4
899.0,169.3,163.8
900.0,170.9,163.4
901.0,175.2,164.4
902.0,162.6,168.0
903.0,166.0,168.7
904.0,159.2,166.6
905.0,158.1,167.1
906.0,162.0,167.1
907.0,160.1,167.6
908.0,159.9,167.7
909.0,166.9,169.6
910.0,165.2,166.0
911.0,160.8,165.0
912.0,171.7,163.4
913.0,167.6,170.0
914.0,159.9,167.9
915.0,163.3,167.2
916.0,163.2,167.1
917.0,164.5,167.7
918.0,164.0,166.4
919.0,162.5,168.3
920.0,165.4,166.5
921.0,165.1,165.9
922.0,164.6,166.0
923.0,165.9,167.7
924.0,165.9,166.4
925.0,167.1,167.8
926.0,167.2,166.5
927.0,167.0,166.7
928.0,168.5,166.4
929.0,169.7,166.6
930.0,169.5,167.0
931.0,171.2,167.9
932.0,172.6,167.9
933.0,173.0,167.3
934.0,174.4,168.0
935.0,165.5,168.5
936.0,166.5,169.4
937.0,159.4,170.3
938.0,159.1,170.5
939.0,160.2,168.7
940.0,160.1,170.6
941.0,163.2,169.6
942.0,162.4,169.7
943.0,162.9,169.5
944.0,163.0,169.6
945.0,164.8,169.5
946.0,165.2,170.6
947.0,165.2,169.9
948.0,166.3,170.7
949.0,166.0,170.4
950.0,165.6,168.4
951.0,168.3,169.0
952.0,168.2,168.5
953.0,168.8,169.3
954.0,168.9,170.7
955.0,168.8,169.7
956.0,169.6,169.5
957.0,169.5,169.5
958.0,171.0,169.4
959.0,171.2,169.3
960.0,171.6,170.4
961.0,171.7,170.0
962.0,173.8,169.5
963.0,172.4,168.5
964.0,174.4,168.9
965.0,176.4,169.7
966.0,178.6,169.9
967.0,179.0,169.8
968.0,165.7,173.0
969.0,158.2,170.8
970.0,159.8,171.4
971.0,162.0,171.0
972.0,162.9,171.7
973.0,164.0,171.6
974.0,162.7,171.6
975.0,164.5,170.9
976.0,166.5,172.8
977.0,166.7,171.8
978.0,165.9,171.8
979.0,169.3,173.1
980.0,167.5,172.5
981.0,168.4,172.0
982.0,167.2,171.1
983.0,167.7,171.5
984.0,171.3,172.8
985.0,170.8,172.9
986.0,170.0,172.5
987.0,170.8,173.0
988.0,170.6,172.5
989.0,170.2,171.4
990.0,173.0,170.9
991.0,174.3,172.2
992.0,173.1,170.9
993.0,172.6,171.1
994.0,176.6,172.8
995.0,175.9,173.3
996.0,180.0,173.2
997.0,161.5,175.2
998.0,163.3,174.1
999.0,162.1,175.6
1000.0,162.4,175.3
1001.0,163.1,174.0
1002.0,166.0,173.9
1003.0,165.5,175.2
1004.0,168.1,173.9
1005.0,167.6,173.4
1006.0,167.1,175.6
1007.0,168.1,174.6
1008.0,170.3,174.8
1009.0,171.8,174.5
1010.0,169.6,175.3
1011.0,171.0,175.3
1012.0,174.4,174.7
1013.0,173.0,174.1
1014.0,173.3,174.6
1015.0,172.1,174.6
1016.0,175.7,174.0
1017.0,174.7,175.0
1018.0,176.8,175.0
1019.0,177.2,174.5
1020.0,182.8,174.6
1021.0,160.8,175.9
1022.0,164.0,177.7
1023.0,162.0,178.6
1024.0,165.4,177.1
1025.0,166.2,176.3
1026.0,168.4,177.2
1027.0,167.2,177.6
1028.0,167.3,177.2
1029.0,171.7,176.9
1030.0,170.4,177.1
1031.0,170.9,176.5
1032.0,172.7,177.4
1033.0,173.2,177.1
1034.0,172.1,178.0
1035.0,173.8,177.2
1036.0,174.9,177.9
1037.0,175.4,176.4
1038.0,179.2,177.9
1039.0,180.7,176.7
1040.0,184.1,176.2
1041.0,166.7,180.7
1042.0,164.6,178.5
1043.0,168.3,180.6
1044.0,170.3,180.2
1045.0,171.5,178.8
1046.0,174.0,179.5
1047.0,173.6,180.4
1048.0,175.2,179.9
1049.0,174.9,179.2
1050.0,179.0,179.8
1051.0,179.0,179.2
1052.0,166.2,180.9
1053.0,167.8,182.0
1054.0,170.5,182.8
1055.0,174.1,183.2
1056.0,176.1,181.0
1057.0,176.7,182.5
1058.0,177.4,181.6
1059.0,179.6,182.0
1060.0,167.2,185.2
1061.0,169.6,183.5
1062.0,175.5,183.5
1063.0,178.1,183.6
1064.0,186.0,183.6
1065.0,180.8,187.9
1066.0,173.0,192.1
1067.0,162.2,159.3
1068.0,179.5,191.0
1069.0,178.5,165.9
1070.0,166.4,156.2
1071.0,181.3,168.8
1072.0,162.8,161.8
1073.0,167.5,158.7
1074.0,165.7,175.9
1075.0,176.5,169.8
1076.0,177.6,172.3
1077.0,175.0,172.3
1078.0,173.9,166.6
